count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
82.439990,0.019997,-9.600742,-1.624878,-1.088485,-1.017658,1.206685,-6.946176,-1.017926,1.206815,-6.946181,-0.980034,-0.164974,-0.110983,Transition
82.460000,0.020004,-9.138964,-1.653467,-0.757629,-1.008275,1.204189,-6.936143,-1.017658,1.206685,-6.946176,-0.979409,-0.155827,-0.128357,Walking
82.480000,0.019997,-8.518831,-1.476998,-1.158731,-0.986983,1.201933,-6.927510,-1.008275,1.204189,-6.936143,-0.976922,-0.139063,-0.162124,Walking
82.500000,0.020004,-8.500985,-1.331229,-1.488012,-0.966051,1.199733,-6.919361,-0.986983,1.201933,-6.927510,-0.973228,-0.124490,-0.193209,Walking
82.520000,0.019997,-8.489988,-1.211640,-1.787476,-0.945709,1.197333,-6.911954,-0.966051,1.199733,-6.919361,-0.969140,-0.111275,-0.219967,Walking
82.540000,0.020004,-8.468447,-1.101933,-2.033106,-0.925645,1.194581,-6.905295,-0.945709,1.197333,-6.911954,-0.965489,-0.098303,-0.241181,Walking
82.560000,0.019997,-8.457241,-0.990276,-2.195441,-0.905916,1.191247,-6.898722,-0.925645,1.194581,-6.905295,-0.962676,-0.083954,-0.257307,Walking
82.580000,0.020004,-8.437712,-0.850923,-2.306637,-0.886169,1.187434,-6.892041,-0.905916,1.191247,-6.898722,-0.960737,-0.067311,-0.269173,Walking
82.600000,0.019997,-8.427238,-0.687410,-2.326599,-0.866476,1.183175,-6.884080,-0.886169,1.187434,-6.892041,-0.959435,-0.048360,-0.277750,Walking
82.620000,0.019997,-8.398696,-0.498516,-2.298201,-0.846388,1.178447,-6.874381,-0.866476,1.183175,-6.884080,-0.958537,-0.026717,-0.283713,Walking
82.640000,0.020004,-8.380366,-0.272844,-2.289107,-0.826012,1.173438,-6.863964,-0.846388,1.178447,-6.874381,-0.958100,-0.002284,-0.286427,Walking
82.660000,0.019997,-8.376406,0.014592,-1.982864,-0.805703,1.168886,-6.847173,-0.826012,1.173438,-6.863964,-0.957395,0.024692,-0.287724,Walking
82.680000,0.020004,-8.495003,0.318806,-2.128775,-0.788095,1.164816,-6.832934,-0.805703,1.168886,-6.847173,-0.955680,0.053235,-0.289556,Walking
82.700000,0.019997,-8.890039,0.622256,-1.935254,-0.779005,1.161525,-6.814038,-0.788095,1.164816,-6.832934,-0.952557,0.080210,-0.293600,Walking
82.720000,0.020004,-9.220440,0.837049,-1.763335,-0.777600,1.158374,-6.789534,-0.779005,1.161525,-6.814038,-0.947064,0.101380,-0.304618,Walking
82.740000,0.019997,-9.180478,1.000254,-1.864533,-0.776980,1.155362,-6.763394,-0.777600,1.158374,-6.789534,-0.938990,0.117317,-0.323317,Walking
82.759990,0.019997,-9.197841,1.145296,-2.002918,-0.778872,1.153216,-6.734758,-0.776980,1.155362,-6.763394,-0.927950,0.127690,-0.350149,Walking
82.780000,0.020004,-9.102633,1.241271,-2.283599,-0.781553,1.151942,-6.705332,-0.778872,1.153216,-6.734758,-0.914233,0.133024,-0.382731,Walking
82.800000,0.019997,-9.028806,1.311830,-2.541009,-0.785773,1.151579,-6.674391,-0.781553,1.151942,-6.705332,-0.898855,0.135570,-0.416750,Walking
82.820000,0.020004,-8.923524,1.322843,-2.842772,-0.791039,1.151585,-6.642953,-0.785773,1.151579,-6.674391,-0.882802,0.134817,-0.449983,Walking
82.840000,0.019997,-8.790495,1.313429,-3.127596,-0.796733,1.151974,-6.611248,-0.791039,1.151585,-6.642953,-0.867051,0.131906,-0.480442,Walking
82.860000,0.020004,-8.735267,1.250116,-3.374850,-0.803871,1.152294,-6.579712,-0.796733,1.151974,-6.611248,-0.854068,0.125802,-0.504719,Walking
82.880000,0.019997,-8.687288,1.173566,-3.526733,-0.811865,1.153067,-6.547753,-0.803871,1.152294,-6.579712,-0.844804,0.115690,-0.522419,Walking
82.900000,0.020004,-8.714629,1.058303,-3.618200,-0.821692,1.154440,-6.514977,-0.811865,1.153067,-6.547753,-0.838266,0.100882,-0.535848,Walking
82.920000,0.019997,-8.747877,0.898702,-3.617352,-0.832872,1.156701,-6.480442,-0.821692,1.154440,-6.514977,-0.834740,0.080083,-0.544790,Walking
82.939990,0.019997,-8.758114,0.683235,-3.623759,-0.844627,1.159668,-6.444855,-0.832872,1.156701,-6.480442,-0.832850,0.054522,-0.550808,Walking
82.960000,0.020004,-8.823774,0.452376,-3.507518,-0.857910,1.164284,-6.406175,-0.844627,1.159668,-6.444855,-0.831779,0.022595,-0.554647,Walking
82.980000,0.019997,-8.802958,0.120302,-3.472518,-0.870983,1.169739,-6.366447,-0.857910,1.164284,-6.406175,-0.830702,-0.015549,-0.556500,Walking
83.000000,0.020004,-8.778146,-0.251319,-3.383928,-0.883885,1.176107,-6.325007,-0.870983,1.169739,-6.366447,-0.829075,-0.058067,-0.556115,Walking
