count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
1075.540000,0.019897,-9.600676,-1.624893,-1.088495,1.295769,0.901685,-3.578441,1.295501,0.901815,-3.578446,-0.980034,-0.164974,-0.110983,Transition
1075.560000,0.020020,-9.952158,-1.430140,-0.570645,1.289115,0.903985,-3.566963,1.295769,0.901685,-3.578441,-0.980610,-0.157495,-0.116614,Walking
1075.580000,0.020020,-9.109768,-1.271066,-0.396685,1.299425,0.907311,-3.550104,1.289115,0.903985,-3.566963,-0.981117,-0.146502,-0.126281,Walking
1075.600000,0.020020,-9.019714,-1.202204,-0.280058,1.311510,0.910989,-3.529566,1.299425,0.907311,-3.550104,-0.980979,-0.141276,-0.133123,Walking
1075.620000,0.020020,-8.923551,-1.190016,-0.157137,1.325445,0.914495,-3.505588,1.311510,0.910989,-3.529566,-0.980591,-0.139160,-0.138113,Walking
1075.640000,0.020020,-8.812270,-1.189771,-0.010258,1.341506,0.917902,-3.477856,1.325445,0.914495,-3.505588,-0.980075,-0.138628,-0.142252,Walking
1075.660000,0.020020,-8.659690,-1.304858,0.181899,1.360463,0.919070,-3.445266,1.341506,0.917902,-3.477856,-0.979267,-0.138963,-0.147399,Walking
1075.680000,0.019897,-8.492398,-1.379534,0.378922,1.382386,0.918803,-3.407414,1.360463,0.919070,-3.445266,-0.978003,-0.139256,-0.155298,Walking
1075.700000,0.020020,-8.352798,-1.522082,0.479145,1.406886,0.915313,-3.364873,1.382386,0.918803,-3.407414,-0.976206,-0.137385,-0.167770,Walking
1075.720000,0.020020,-8.248742,-1.679965,0.495969,1.432847,0.908443,-3.318403,1.406886,0.915313,-3.364873,-0.973043,-0.136267,-0.186061,Walking
1075.740000,0.020020,-8.133128,-1.869479,0.435544,1.460068,0.898494,-3.268471,1.432847,0.908443,-3.318403,-0.967671,-0.139912,-0.209850,Walking
1075.760000,0.020020,-8.136290,-2.329805,0.493695,1.485410,0.882331,-3.211562,1.460068,0.898494,-3.268471,-0.958426,-0.155192,-0.239448,Walking
1075.780000,0.020020,-8.363338,-2.785569,0.104909,1.503299,0.863040,-3.155647,1.485410,0.882331,-3.211562,-0.943621,-0.185728,-0.274016,Walking
1075.800000,0.019897,-8.692783,-3.326174,0.050627,1.510392,0.841560,-3.093959,1.503299,0.863040,-3.155647,-0.922449,-0.229011,-0.310873,Walking
1075.820000,0.020020,-8.390512,-3.764725,-0.346949,1.516960,0.823815,-3.031738,1.510392,0.841560,-3.093959,-0.888748,-0.293412,-0.352190,Walking
1075.840000,0.020020,-7.661258,-4.438365,-0.743383,1.527885,0.808671,-2.968248,1.516960,0.823815,-3.031738,-0.836592,-0.375318,-0.399060,Walking
1075.860000,0.020020,-5.965642,-4.877439,-1.270833,1.556100,0.802866,-2.902386,1.527885,0.808671,-2.968248,-0.751785,-0.467634,-0.464906,Walking
1075.880000,0.020020,-4.402249,-5.422663,-2.171457,1.591705,0.802254,-2.838125,1.556100,0.802866,-2.902386,-0.630049,-0.549655,-0.548560,Walking
1075.900000,0.020020,-2.349660,-5.306335,-3.197414,1.640339,0.812483,-2.776224,1.591705,0.802254,-2.838125,-0.487156,-0.592992,-0.641124,Walking
1075.920000,0.019897,-0.482925,-4.722945,-4.282097,1.695476,0.835859,-2.719520,1.640339,0.812483,-2.776224,-0.331700,-0.601199,-0.727004,Walking
1075.940000,0.020020,1.203978,-4.193416,-5.357271,1.753673,0.867917,-2.672014,1.695476,0.835859,-2.719520,-0.173602,-0.590699,-0.787995,Walking
1075.960000,0.020020,2.303973,-3.406728,-5.787545,1.804196,0.914539,-2.628612,1.753673,0.867917,-2.672014,-0.022397,-0.584667,-0.810965,Walking
1075.980000,0.020020,3.315170,-3.247419,-6.046329,1.848521,0.965083,-2.592396,1.804196,0.914539,-2.628612,0.112242,-0.588393,-0.800747,Walking
1076.000000,0.020020,3.850609,-3.011978,-6.082860,1.881636,1.019974,-2.561309,1.848521,0.965083,-2.592396,0.223905,-0.586532,-0.778361,Walking
1076.020000,0.020020,4.258823,-3.006734,-5.910367,1.905205,1.074556,-2.532694,1.881636,1.019974,-2.561309,0.314119,-0.584418,-0.748188,Walking
1076.040000,0.019897,4.708678,-3.012522,-5.669121,1.922007,1.128378,-2.506762,1.905205,1.074556,-2.532694,0.393907,-0.582822,-0.710744,Walking
1076.060000,0.020020,5.023943,-3.477246,-4.989677,1.932257,1.175646,-2.477233,1.922007,1.128378,-2.506762,0.459936,-0.595141,-0.658989,Walking
1076.080000,0.020020,5.328507,-3.963167,-4.434043,1.938645,1.218157,-2.449106,1.932257,1.175646,-2.477233,0.510644,-0.620457,-0.595211,Walking
1076.100000,0.020020,5.540845,-4.576903,-3.661101,1.942195,1.253193,-2.417535,1.938645,1.218157,-2.449106,0.546740,-0.644952,-0.533959,Walking
1076.120000,0.020020,5.810808,-5.373136,-3.072240,1.946024,1.275421,-2.383822,1.942195,1.253193,-2.417535,0.572837,-0.660903,-0.484836,Walking
1076.140000,0.020020,6.079480,-5.713346,-2.679138,1.950294,1.291252,-2.349006,1.946024,1.275421,-2.383822,0.597981,-0.663006,-0.450380,Walking
1076.160000,0.020020,6.374648,-6.418443,-2.456192,1.956709,1.291635,-2.312912,1.950294,1.291252,-2.349006,0.617149,-0.656226,-0.434160,Walking
1076.180000,0.019897,6.468778,-6.531756,-2.490138,1.963400,1.288371,-2.277853,1.956709,1.291635,-2.312912,0.625126,-0.649106,-0.433450,Walking
1076.200000,0.020020,6.395127,-6.938395,-2.643580,1.970514,1.277981,-2.244557,1.963400,1.288371,-2.277853,0.615677,-0.654373,-0.439019,Walking
1076.220000,0.020020,6.148955,-7.477537,-2.762593,1.979379,1.260932,-2.210841,1.970514,1.277981,-2.244557,0.581664,-0.675427,-0.453284,Walking
1076.240000,0.020020,5.641572,-7.964091,-2.949325,1.988853,1.240205,-2.177022,1.979379,1.260932,-2.210841,0.526846,-0.706292,-0.472849,Walking
1076.260000,0.020020,5.048790,-8.863609,-2.989524,2.001328,1.207628,-2.138215,1.988853,1.240205,-2.177022,0.451133,-0.737651,-0.502345,Walking
1076.280000,0.020020,4.120599,-9.418739,-3.385084,2.013263,1.168259,-2.099523,2.001328,1.207628,-2.138215,0.359271,-0.759656,-0.542077,Walking
1076.300000,0.019897,3.085536,-10.128590,-3.860207,2.023524,1.116097,-2.061551,2.013263,1.168259,-2.099523,0.261964,-0.765242,-0.588030,Walking
1076.320000,0.020020,1.849203,-10.544830,-3.945612,2.029479,1.054996,-2.017642,2.023524,1.116097,-2.061551,0.158180,-0.763788,-0.625785,Walking
1076.340000,0.020020,0.384141,-10.709590,-4.303885,2.027535,0.989274,-1.975853,2.029479,1.054996,-2.017642,0.049057,-0.757056,-0.651506,Walking
1076.360000,0.020020,-2.097739,-11.066430,-4.056818,2.004663,0.915511,-1.929144,2.027535,0.989274,-1.975853,-0.097379,-0.752481,-0.651375,Walking
1076.380000,0.020020,-4.675560,-10.068630,-4.996793,1.970442,0.850717,-1.901366,2.004663,0.915511,-1.929144,-0.302363,-0.696445,-0.650800,Walking
1076.400000,0.020020,-7.584614,-7.554586,-5.891182,1.928391,0.800008,-1.891204,1.970442,0.850717,-1.901366,-0.559033,-0.511884,-0.652270,Walking
1076.420000,0.019897,-9.740798,-3.829667,-5.759278,1.887341,0.768910,-1.892977,1.928391,0.800008,-1.891204,-0.782640,-0.231067,-0.577999,Walking
1076.440000,0.020020,-10.862830,-0.325871,-4.683364,1.846980,0.749736,-1.902818,1.887341,0.768910,-1.892977,-0.901812,0.064415,-0.427301,Walking
1076.460000,0.020020,-10.419530,2.911219,-3.009011,1.819576,0.754981,-1.908955,1.846980,0.749736,-1.902818,-0.922596,0.270055,-0.275476,Walking
1076.480000,0.020020,-10.003070,4.248428,-2.043724,1.798419,0.767594,-1.914576,1.819576,0.754981,-1.908955,-0.911951,0.368848,-0.179713,Walking
1076.500000,0.020020,-9.400260,5.089438,-1.257020,1.788596,0.791015,-1.915281,1.798419,0.767594,-1.914576,-0.908214,0.399545,-0.124545,Walking
1076.520000,0.020020,-9.326231,5.106825,-0.592066,1.782715,0.819314,-1.907012,1.788596,0.791015,-1.915281,-0.920743,0.376477,-0.102458,Walking
