count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
987.360000,0.020020,-9.600752,-1.624859,-1.088497,0.927214,0.901685,-3.811129,0.926946,0.901815,-3.811134,-0.980034,-0.164974,-0.110983,Transition
987.380000,0.020020,-9.370049,-1.791842,-0.941464,0.932106,0.898190,-3.808197,0.927214,0.901685,-3.811129,-0.980063,-0.164854,-0.110900,Walking
987.400000,0.019959,-8.472162,-1.815506,-1.233071,0.954963,0.894311,-3.811746,0.932106,0.898190,-3.808197,-0.980366,-0.165260,-0.107570,Walking
987.420000,0.020020,-8.428432,-1.833967,-1.137766,0.978920,0.890269,-3.815217,0.954963,0.894311,-3.811746,-0.981152,-0.166366,-0.098302,Walking
987.440000,0.020020,-8.404190,-1.849385,-0.961901,1.003564,0.886297,-3.818053,0.978920,0.890269,-3.815217,-0.982184,-0.168296,-0.083617,Walking
987.460000,0.019959,-8.365638,-1.865313,-0.730542,1.029099,0.882588,-3.820185,1.003564,0.886297,-3.818053,-0.983183,-0.171199,-0.063579,Walking
987.480000,0.020020,-8.381227,-1.870602,-0.373374,1.054532,0.879490,-3.820224,1.029099,0.882588,-3.820185,-0.983856,-0.174910,-0.037863,Walking
987.500000,0.020020,-8.362851,-1.883262,0.029218,1.080308,0.877047,-3.818439,1.054532,0.879490,-3.820224,-0.983733,-0.179534,-0.006111,Walking
987.520000,0.019959,-8.370672,-1.900342,0.546392,1.105543,0.875399,-3.813776,1.080308,0.877047,-3.818439,-0.982165,-0.185299,0.031884,Walking
987.540000,0.020020,-8.394391,-1.934799,1.141174,1.129657,0.874342,-3.805853,1.105543,0.875399,-3.813776,-0.978480,-0.191842,0.075983,Walking
987.560000,0.020020,-8.386028,-1.977788,1.782485,1.152644,0.873819,-3.794889,1.129657,0.874342,-3.805853,-0.971892,-0.198948,0.125878,Walking
987.580000,0.019959,-8.399340,-2.070688,2.575502,1.173336,0.872913,-3.778594,1.152644,0.873819,-3.794889,-0.961887,-0.206453,0.179308,Walking
987.600000,0.020020,-8.439140,-2.152347,3.176764,1.190657,0.871820,-3.760931,1.173336,0.872913,-3.778594,-0.948455,-0.213835,0.233896,Walking
987.620000,0.020020,-8.863920,-2.224819,3.872742,1.196895,0.870062,-3.738151,1.190657,0.871820,-3.760931,-0.935322,-0.217839,0.278781,Walking
987.640000,0.019959,-9.275531,-2.233228,4.296234,1.193608,0.867683,-3.711474,1.196895,0.870062,-3.738151,-0.928731,-0.215499,0.301693,Walking
987.660000,0.020020,-9.279653,-2.208729,4.483561,1.189915,0.864576,-3.682757,1.193608,0.867683,-3.711474,-0.927131,-0.209331,0.310818,Walking
987.680000,0.020020,-9.357167,-2.216030,4.591129,1.185017,0.859523,-3.652036,1.189915,0.864576,-3.682757,-0.928899,-0.200165,0.311577,Walking
987.700000,0.019959,-9.423894,-2.138506,4.576804,1.179830,0.853592,-3.620120,1.185017,0.859523,-3.652036,-0.934150,-0.187701,0.303534,Walking
