count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
108.640000,0.020004,-9.600741,-1.624864,-1.088496,1.194656,0.901685,-3.494153,1.194388,0.901815,-3.494158,-0.980034,-0.164974,-0.110983,Transition
108.660000,0.019997,-9.952538,-1.429996,-0.569989,1.188002,0.903986,-3.482675,1.194656,0.901685,-3.494153,-0.980610,-0.157495,-0.116614,Walking
108.680000,0.020004,-9.109387,-1.270957,-0.396043,1.198312,0.907311,-3.465816,1.188002,0.903986,-3.482675,-0.981117,-0.146502,-0.126281,Walking
108.700000,0.019997,-9.019011,-1.201979,-0.278884,1.210398,0.910989,-3.445278,1.198312,0.907311,-3.465816,-0.980979,-0.141276,-0.133123,Walking
108.720000,0.020004,-8.923019,-1.189894,-0.156223,1.224332,0.914495,-3.421299,1.210398,0.910989,-3.445278,-0.980591,-0.139160,-0.138113,Walking
108.740000,0.019997,-8.811364,-1.189574,-0.008672,1.240393,0.917902,-3.393568,1.224332,0.914495,-3.421299,-0.980075,-0.138628,-0.142252,Walking
108.760000,0.019997,-8.658583,-1.304785,0.183762,1.259350,0.919070,-3.360978,1.240393,0.917902,-3.393568,-0.979267,-0.138963,-0.147399,Walking
108.780000,0.020004,-8.498293,-1.379469,0.368765,1.281273,0.918803,-3.323126,1.259350,0.919070,-3.360978,-0.978003,-0.139256,-0.155298,Walking
108.800000,0.019997,-8.351402,-1.522273,0.481578,1.305773,0.915313,-3.280585,1.281273,0.918803,-3.323126,-0.976206,-0.137385,-0.167770,Walking
108.820000,0.020004,-8.247753,-1.680227,0.497739,1.331734,0.908443,-3.234115,1.305773,0.915313,-3.280585,-0.973043,-0.136267,-0.186061,Walking
108.840000,0.019997,-8.131565,-1.870057,0.438398,1.358956,0.898494,-3.184183,1.331734,0.908443,-3.234115,-0.967671,-0.139912,-0.209850,Walking
108.860000,0.020004,-8.135324,-2.330418,0.495863,1.384298,0.882331,-3.127274,1.358956,0.898494,-3.184183,-0.958426,-0.155192,-0.239448,Walking
108.880000,0.019997,-8.362321,-2.786669,0.108106,1.402187,0.863040,-3.071359,1.384298,0.882331,-3.127274,-0.943621,-0.185728,-0.274016,Walking
108.900000,0.019997,-8.694551,-3.320819,0.035250,1.409279,0.841560,-3.009671,1.402187,0.863040,-3.071359,-0.922449,-0.229011,-0.310873,Walking
108.920000,0.020004,-8.390250,-3.765395,-0.344579,1.415848,0.823815,-2.947450,1.409279,0.841560,-3.009671,-0.888748,-0.293412,-0.352190,Walking
108.940000,0.019997,-7.660645,-4.439236,-0.739754,1.426772,0.808671,-2.883960,1.415848,0.823815,-2.947450,-0.836592,-0.375318,-0.399060,Walking
108.960000,0.020004,-5.964573,-4.877656,-1.268324,1.454987,0.802866,-2.818098,1.426772,0.808671,-2.883960,-0.751785,-0.467634,-0.464906,Walking
108.980000,0.019997,-4.400208,-5.422704,-2.167783,1.490593,0.802254,-2.753837,1.454987,0.802866,-2.818098,-0.630049,-0.549655,-0.548560,Walking
109.000000,0.020004,-2.347801,-5.305940,-3.195055,1.539227,0.812483,-2.691936,1.490593,0.802254,-2.753837,-0.487156,-0.592992,-0.641124,Walking
