count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
30.440000,0.019999,-9.614827,-1.615600,-1.082778,1.288641,0.931669,-3.953756,1.288641,0.931685,-3.953857,-0.980107,-0.164607,-0.110887,Transition
30.460000,0.020000,-9.488877,-1.693598,-0.836426,1.290904,0.931734,-3.948960,1.288641,0.931669,-3.953756,-0.978798,-0.172968,-0.109709,Walking
30.480000,0.020000,-8.864639,-1.877071,-0.742600,1.305254,0.931339,-3.944118,1.290904,0.931734,-3.948960,-0.976769,-0.189334,-0.100377,Walking
30.500000,0.020000,-8.847989,-2.051444,-0.541596,1.319685,0.930588,-3.939401,1.305254,0.931339,-3.944118,-0.975488,-0.205286,-0.079248,Walking
30.520000,0.019999,-8.857183,-2.225190,-0.295586,1.333553,0.929733,-3.935156,1.319685,0.930588,-3.939401,-0.973564,-0.222470,-0.051771,Walking
30.540000,0.020000,-8.833041,-2.405931,-0.020492,1.347231,0.929030,-3.931375,1.333553,0.929733,-3.935156,-0.970124,-0.241669,-0.021360,Walking
30.560000,0.020000,-8.786974,-2.622296,0.280906,1.360707,0.928454,-3.927046,1.347231,0.929030,-3.931375,-0.964398,-0.264375,0.006575,Walking
30.580000,0.020000,-8.674435,-2.866609,0.570936,1.374790,0.928350,-3.921662,1.360707,0.928454,-3.927046,-0.956021,-0.291682,0.030759,Walking
30.600000,0.019999,-8.510455,-3.162645,0.958796,1.389906,0.928615,-3.913171,1.374790,0.928350,-3.921662,-0.944577,-0.323741,0.054456,Walking
30.620000,0.020000,-8.298306,-3.510268,1.455479,1.406285,0.929023,-3.900139,1.389906,0.928615,-3.913171,-0.929383,-0.359907,0.081944,Walking
30.640000,0.020000,-8.068007,-3.874860,1.906276,1.423358,0.929811,-3.884985,1.406285,0.929023,-3.900139,-0.909443,-0.399004,0.117086,Walking
30.660000,0.020000,-7.819280,-4.309052,2.745068,1.440376,0.929376,-3.862842,1.423358,0.929811,-3.884985,-0.883812,-0.437034,0.166966,Walking
30.680000,0.019999,-7.648493,-4.681494,3.165896,1.454483,0.927982,-3.845046,1.440376,0.929376,-3.862842,-0.851566,-0.470114,0.232011,Walking
30.700000,0.020000,-7.648441,-5.038958,4.334640,1.462395,0.923393,-3.816312,1.454483,0.927982,-3.845046,-0.819983,-0.490267,0.295409,Walking
30.720000,0.020000,-7.801218,-5.134706,5.292119,1.463978,0.917052,-3.776578,1.462395,0.923393,-3.816312,-0.803299,-0.491097,0.336949,Walking
30.740000,0.020000,-7.770545,-5.054839,5.623068,1.465436,0.910450,-3.734524,1.463978,0.917052,-3.776578,-0.799536,-0.481623,0.358862,Walking
30.760000,0.020000,-7.980471,-4.879210,6.006218,1.464078,0.904722,-3.685202,1.465436,0.910450,-3.734524,-0.806586,-0.468176,0.360875,Walking
30.780000,0.019999,-8.211880,-4.695543,5.946243,1.461528,0.899479,-3.633287,1.464078,0.904722,-3.685202,-0.824092,-0.451926,0.341519,Walking
30.800000,0.020000,-8.545464,-4.472241,5.889205,1.456787,0.895207,-3.575735,1.461528,0.899479,-3.633287,-0.846934,-0.434112,0.307000,Walking
30.820000,0.020000,-8.838072,-4.226263,5.758510,1.451371,0.892431,-3.510085,1.456787,0.895207,-3.575735,-0.873319,-0.416661,0.252404,Walking
30.840000,0.020000,-8.985227,-4.026754,5.279578,1.447673,0.890781,-3.440452,1.451371,0.892431,-3.510085,-0.897079,-0.402065,0.183283,Walking
30.860000,0.019999,-9.050424,-3.737181,4.917888,1.445558,0.894008,-3.362400,1.447673,0.890781,-3.440452,-0.911791,-0.397406,0.103467,Walking
30.880000,0.020000,-8.931036,-3.670403,4.100126,1.446190,0.900271,-3.284343,1.445558,0.894008,-3.362400,-0.913620,-0.406071,0.020115,Walking
30.900000,0.020000,-8.766926,-3.642517,3.347566,1.447917,0.911163,-3.206011,1.446190,0.900271,-3.284343,-0.902476,-0.426820,-0.057992,Walking
30.920000,0.020000,-8.516053,-3.768889,2.518669,1.450297,0.925267,-3.129910,1.447917,0.911163,-3.206011,-0.880229,-0.456074,-0.131122,Walking
30.940000,0.019999,-8.123124,-3.960391,1.771218,1.454685,0.941503,-3.055178,1.450297,0.925267,-3.129910,-0.850414,-0.486465,-0.200370,Walking
30.960000,0.020000,-7.716498,-4.143062,0.902518,1.460628,0.958603,-2.984072,1.454685,0.941503,-3.055178,-0.816885,-0.509488,-0.270410,Walking
30.980000,0.020000,-7.218214,-4.262826,0.080109,1.469440,0.975894,-2.915268,1.460628,0.958603,-2.984072,-0.780711,-0.522664,-0.342509,Walking
31.000000,0.020000,-6.691022,-4.330004,-0.738097,1.480971,0.993081,-2.848815,1.469440,0.975894,-2.915268,-0.740833,-0.528985,-0.413933,Walking
31.020000,0.019999,-6.155300,-4.372516,-1.558316,1.494421,1.009743,-2.785080,1.480971,0.993081,-2.848815,-0.696008,-0.530652,-0.483717,Walking
31.040000,0.020000,-5.574079,-4.374729,-2.324431,1.509593,1.026271,-2.723712,1.494421,1.009743,-2.785080,-0.645532,-0.530184,-0.549721,Walking
31.060000,0.020000,-4.877800,-4.481226,-3.181432,1.527860,1.039556,-2.666969,1.509593,1.026271,-2.723712,-0.590329,-0.524513,-0.613513,Walking
31.080000,0.020000,-4.481841,-4.163392,-3.686428,1.541223,1.058197,-2.608407,1.527860,1.039556,-2.666969,-0.524972,-0.519411,-0.674252,Walking
