count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
3.040000,0.020000,-9.615761,-1.613008,-1.082049,1.139247,0.901649,-3.438180,1.139253,0.901669,-3.438270,-0.980169,-0.164319,-0.110762,Transition
3.060000,0.020000,-9.500751,-1.627995,-0.680754,1.141492,0.901121,-3.429331,1.139247,0.901649,-3.438180,-0.979916,-0.163265,-0.114497,Walking
3.080000,0.020000,-8.999972,-1.610912,-0.764264,1.153727,0.900320,-3.421098,1.141492,0.901121,-3.429331,-0.979791,-0.160129,-0.119869,Walking
3.100000,0.020000,-8.955658,-1.573738,-0.735345,1.166964,0.899416,-3.412111,1.153727,0.900320,-3.421098,-0.980377,-0.155810,-0.120763,Walking
3.120000,0.020000,-8.926346,-1.544457,-0.639297,1.181011,0.898315,-3.402045,1.166964,0.899416,-3.412111,-0.981520,-0.151828,-0.116473,Walking
3.140000,0.020000,-8.912353,-1.519390,-0.498255,1.195658,0.897080,-3.391114,1.181011,0.898315,-3.402045,-0.983148,-0.148587,-0.106501,Walking
3.160000,0.020000,-8.875973,-1.529588,-0.237409,1.211443,0.894948,-3.378036,1.195658,0.897080,-3.391114,-0.985242,-0.145057,-0.090862,Walking
3.180000,0.020000,-8.855614,-1.507786,0.042246,1.228122,0.892202,-3.363470,1.211443,0.894948,-3.378036,-0.987721,-0.139702,-0.069934,Walking
3.200000,0.020000,-8.824707,-1.478416,0.419708,1.245941,0.888341,-3.346375,1.228122,0.892202,-3.363470,-0.990387,-0.131024,-0.044345,Walking
3.220000,0.020000,-8.784943,-1.414275,0.842876,1.265062,0.883114,-3.326682,1.245941,0.888341,-3.346375,-0.992965,-0.117525,-0.014449,Walking
3.240000,0.020000,-8.747075,-1.293550,1.277111,1.285315,0.876710,-3.304964,1.265062,0.883114,-3.326682,-0.994874,-0.099224,0.019490,Walking
3.260000,0.020000,-8.633740,-1.159052,1.832060,1.307973,0.868146,-3.279545,1.285315,0.876710,-3.304964,-0.995579,-0.074500,0.057196,Walking
3.280000,0.020000,-8.550022,-0.941754,2.292178,1.332041,0.857773,-3.252972,1.307973,0.868146,-3.279545,-0.994230,-0.043127,0.098222,Walking
3.300000,0.020000,-8.850612,-0.578713,2.524729,1.349399,0.848467,-3.229114,1.332041,0.857773,-3.252972,-0.990674,-0.011563,0.135760,Walking
3.320000,0.020000,-9.191129,-0.197961,2.652377,1.359189,0.841999,-3.207725,1.349399,0.848467,-3.229114,-0.986813,0.012788,0.161361,Walking
3.340000,0.020000,-9.134604,0.007568,2.894643,1.369416,0.835822,-3.184995,1.359189,0.841999,-3.207725,-0.983280,0.032253,0.179219,Walking
3.360000,0.020000,-9.063031,0.180451,3.256091,1.380386,0.829523,-3.157872,1.369416,0.835822,-3.184995,-0.979765,0.050500,0.193675,Walking
3.380000,0.020000,-9.025076,0.331600,3.433897,1.391466,0.822994,-3.129415,1.380386,0.829523,-3.157872,-0.976461,0.067081,0.204998,Walking
3.400000,0.020000,-8.983294,0.456772,3.668824,1.402741,0.815985,-3.098174,1.391466,0.822994,-3.129415,-0.973195,0.082281,0.214757,Walking
3.420000,0.020000,-8.952554,0.574735,3.910898,1.414085,0.808507,-3.063362,1.402741,0.815985,-3.098174,-0.970414,0.096701,0.221236,Walking
3.440000,0.020000,-8.914498,0.707586,4.022988,1.425749,0.800820,-3.026890,1.414085,0.808507,-3.063362,-0.968166,0.111312,0.224196,Walking
3.460000,0.020000,-8.951247,0.894015,4.276492,1.436630,0.794147,-2.984107,1.425749,0.800820,-3.026890,-0.967920,0.125142,0.217877,Walking
3.480000,0.020000,-8.996557,1.066854,4.197320,1.447064,0.788739,-2.939408,1.436630,0.794147,-2.984107,-0.970259,0.136318,0.200038,Walking
3.500000,0.020000,-9.110061,1.249452,4.123567,1.456123,0.785838,-2.890642,1.447064,0.788739,-2.939408,-0.974824,0.142150,0.171791,Walking
3.520000,0.020000,-9.252748,1.390640,3.880263,1.463638,0.786331,-2.838821,1.456123,0.785838,-2.890642,-0.981499,0.139244,0.131416,Walking
3.540000,0.020000,-9.299399,1.390312,3.470051,1.471532,0.788874,-2.785728,1.463638,0.786331,-2.838821,-0.988186,0.128763,0.083123,Walking
3.560000,0.020000,-9.468451,1.455964,3.088281,1.477097,0.796581,-2.730038,1.471532,0.788874,-2.785728,-0.993545,0.109133,0.030965,Walking
3.580000,0.020000,-9.425713,1.286592,2.590794,1.484086,0.806309,-2.674144,1.477097,0.796581,-2.730038,-0.996451,0.081573,-0.020786,Walking
3.600000,0.020000,-9.412380,1.138889,2.150688,1.491340,0.819212,-2.617860,1.484086,0.806309,-2.674144,-0.996440,0.050328,-0.067636,Walking
3.620000,0.020000,-9.367098,0.949531,1.739854,1.499032,0.835008,-2.561943,1.491340,0.819212,-2.617860,-0.994056,0.016281,-0.107645,Walking
3.640000,0.020000,-9.217679,0.706816,1.381124,1.508867,0.852695,-2.506525,1.499032,0.835008,-2.561943,-0.989749,-0.018096,-0.141668,Walking
3.660000,0.020000,-9.167612,0.492433,0.901812,1.518037,0.873526,-2.452308,1.508867,0.852695,-2.506525,-0.981255,-0.055974,-0.184407,Walking
3.680000,0.020000,-8.890461,0.128038,0.294256,1.529990,0.894753,-2.400202,1.518037,0.873526,-2.452308,-0.967187,-0.095141,-0.235581,Walking
3.700000,0.020000,-8.683253,-0.206206,-0.261557,1.542916,0.916052,-2.350373,1.529990,0.894753,-2.400202,-0.951028,-0.129578,-0.280634,Walking
3.720000,0.020000,-8.599124,-0.573919,-0.886940,1.554263,0.935688,-2.305527,1.542916,0.916052,-2.350373,-0.934399,-0.158582,-0.318984,Walking
3.740000,0.020000,-8.433698,-0.856828,-1.360263,1.565664,0.954432,-2.263593,1.554263,0.935688,-2.305527,-0.917811,-0.182878,-0.352390,Walking
3.760000,0.020000,-8.304020,-1.186464,-1.918158,1.576265,0.970672,-2.226588,1.565664,0.954432,-2.263593,-0.900519,-0.203720,-0.384139,Walking
3.780000,0.020000,-8.042404,-1.393254,-2.339989,1.588279,0.986556,-2.191540,1.576265,0.970672,-2.226588,-0.881051,-0.222978,-0.417169,Walking
3.800000,0.020000,-7.768005,-1.625152,-2.852624,1.601095,1.001727,-2.159493,1.588279,0.986556,-2.191540,-0.857164,-0.242989,-0.454121,Walking
