count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
36.560000,0.019997,-9.614816,-1.615600,-1.082777,0.602064,0.931669,-2.305856,0.602063,0.931685,-2.305956,-0.980107,-0.164607,-0.110887,Transition
36.580000,0.020000,-10.054330,-1.734385,-1.201023,0.593050,0.930459,-2.307933,0.602064,0.931669,-2.305856,-0.978968,-0.170628,-0.111841,Walking
36.600000,0.020000,-9.380331,-1.875695,-1.041629,0.597199,0.928402,-2.307150,0.593050,0.930459,-2.307933,-0.977345,-0.180718,-0.110171,Walking
36.620000,0.020000,-9.352897,-1.973125,-0.845933,0.601885,0.925502,-2.304270,0.597199,0.928402,-2.307150,-0.977287,-0.186354,-0.100910,Walking
36.640000,0.020000,-9.382634,-2.031612,-0.576525,0.606210,0.921817,-2.299249,0.601885,0.925502,-2.304270,-0.978479,-0.188318,-0.084358,Walking
36.660000,0.020000,-9.432273,-2.040732,-0.229131,0.609907,0.917833,-2.291908,0.606210,0.921817,-2.299249,-0.980341,-0.187719,-0.060773,Walking
36.680000,0.020000,-9.535137,-2.085824,0.194631,0.611845,0.912777,-2.281693,0.609907,0.917833,-2.291908,-0.981859,-0.186853,-0.032222,Walking
36.700000,0.020000,-9.615823,-2.098644,0.625977,0.612235,0.907663,-2.269079,0.611845,0.912777,-2.281693,-0.982195,-0.187865,-0.000481,Walking
36.720000,0.019997,-9.673235,-2.174397,1.120474,0.611205,0.901880,-2.253136,0.612235,0.907663,-2.269079,-0.980808,-0.192172,0.032945,Walking
36.740000,0.020000,-9.735787,-2.289590,1.639991,0.608214,0.895764,-2.233064,0.611205,0.901880,-2.253136,-0.977189,-0.202222,0.064872,Walking
36.760000,0.020000,-9.796523,-2.442356,2.028772,0.602813,0.889864,-2.211151,0.608214,0.895764,-2.233064,-0.971101,-0.218894,0.095122,Walking
36.780000,0.020000,-9.825525,-2.726026,2.646494,0.595054,0.883272,-2.182101,0.602813,0.889864,-2.211151,-0.962034,-0.244287,0.121716,Walking
36.800000,0.020000,-9.892226,-3.048563,2.763812,0.583546,0.876819,-2.155119,0.595054,0.883272,-2.182101,-0.949732,-0.277869,0.144215,Walking
36.820000,0.020000,-9.696398,-3.457861,3.158978,0.573428,0.868922,-2.122853,0.583546,0.876819,-2.155119,-0.936847,-0.312236,0.157566,Walking
36.840000,0.020000,-9.375039,-3.768623,3.445138,0.568125,0.859774,-2.084156,0.573428,0.868922,-2.122853,-0.928637,-0.337534,0.153960,Walking
36.860000,0.020000,-9.287523,-3.973668,3.390913,0.563832,0.849652,-2.043870,0.568125,0.859774,-2.084156,-0.924857,-0.353478,0.140332,Walking
36.880000,0.020000,-9.131127,-4.113895,3.481822,0.562884,0.837438,-1.998313,0.563832,0.849652,-2.043870,-0.925965,-0.357106,0.122734,Walking
36.900000,0.019997,-9.090055,-4.040195,3.326559,0.563993,0.824753,-1.951749,0.562884,0.837438,-1.998313,-0.932266,-0.347178,0.101727,Walking
36.920000,0.020000,-9.005696,-3.877793,3.188293,0.568600,0.811532,-1.903260,0.563993,0.824753,-1.951749,-0.941494,-0.327910,0.077873,Walking
36.940000,0.020000,-8.965533,-3.542750,2.970957,0.576071,0.799976,-1.853369,0.568600,0.811532,-1.903260,-0.951996,-0.302234,0.048567,Walking
36.960000,0.020000,-8.967311,-3.232037,2.666003,0.585236,0.789662,-1.802649,0.576071,0.799976,-1.853369,-0.960808,-0.276898,0.013258,Walking
36.980000,0.020000,-8.871372,-2.798739,2.306840,0.597177,0.784619,-1.750202,0.585236,0.789662,-1.802649,-0.965183,-0.259592,-0.032156,Walking
37.000000,0.020000,-8.871560,-2.601344,1.814125,0.608720,0.782383,-1.696477,0.597177,0.784619,-1.750202,-0.963169,-0.253776,-0.088896,Walking
37.020000,0.020000,-8.768431,-2.412975,1.227944,0.620518,0.784544,-1.641567,0.608720,0.782383,-1.696477,-0.953955,-0.256983,-0.154689,Walking
37.040000,0.020000,-8.644671,-2.298497,0.497762,0.631466,0.790445,-1.586821,0.620518,0.784544,-1.641567,-0.937011,-0.264380,-0.228285,Walking
37.060000,0.019997,-8.389324,-2.247933,-0.273349,0.642939,0.798298,-1.532543,0.631466,0.790445,-1.586821,-0.913667,-0.269179,-0.304558,Walking
37.080000,0.020000,-8.234674,-2.031356,-1.061116,0.652301,0.809620,-1.479597,0.642939,0.798298,-1.532543,-0.887128,-0.264774,-0.378018,Walking
37.100000,0.020000,-7.924909,-1.853795,-1.792789,0.662581,0.821555,-1.428237,0.652301,0.809620,-1.479597,-0.860235,-0.249802,-0.444517,Walking
37.120000,0.020000,-7.683366,-1.582281,-2.451612,0.672677,0.834674,-1.378920,0.662581,0.821555,-1.428237,-0.834675,-0.228153,-0.501263,Walking
37.140000,0.020000,-7.401949,-1.330128,-3.012547,0.683784,0.848101,-1.331631,0.672677,0.834674,-1.378920,-0.811142,-0.204023,-0.548108,Walking
37.160000,0.020000,-7.145471,-1.095941,-3.480570,0.695517,0.861701,-1.285835,0.683784,0.848101,-1.331631,-0.788185,-0.181036,-0.588209,Walking
37.180000,0.020000,-6.787536,-0.984410,-3.981469,0.709517,0.873764,-1.242740,0.695517,0.861701,-1.285835,-0.763254,-0.161827,-0.625504,Walking
37.200000,0.020000,-6.454816,-0.883685,-4.410408,0.724436,0.884771,-1.200825,0.709517,0.873764,-1.242740,-0.734020,-0.146177,-0.663210,Walking
37.220000,0.019997,-6.022516,-0.844221,-4.886981,0.741013,0.893591,-1.160526,0.724436,0.884771,-1.200825,-0.698418,-0.131021,-0.703595,Walking
37.240000,0.020000,-5.552664,-0.829580,-5.350029,0.758738,0.899569,-1.121235,0.741013,0.893591,-1.160526,-0.656365,-0.115035,-0.745622,Walking
37.260000,0.020000,-5.080079,-0.720178,-5.794696,0.776862,0.904297,-1.082873,0.758738,0.899569,-1.121235,-0.610218,-0.097507,-0.786210,Walking
37.280000,0.020000,-4.676505,-0.777088,-6.249381,0.794252,0.904603,-1.046801,0.776862,0.904297,-1.082873,-0.565341,-0.080776,-0.820893,Walking
37.300000,0.020000,-4.341112,-0.682920,-6.586588,0.810645,0.904028,-1.012189,0.794252,0.904603,-1.046801,-0.526068,-0.066682,-0.847824,Walking
37.320000,0.020000,-4.123529,-0.685084,-6.878993,0.825283,0.901402,-0.979645,0.810645,0.904028,-1.012189,-0.494945,-0.056451,-0.867089,Walking
37.340000,0.020000,-4.073667,-0.741009,-7.148865,0.837137,0.896690,-0.950336,0.825283,0.901402,-0.979645,-0.475675,-0.051520,-0.878111,Walking
37.360000,0.020000,-4.047116,-0.795466,-7.287793,0.847524,0.890751,-0.922731,0.837137,0.896690,-0.950336,-0.465492,-0.050821,-0.883592,Walking
