count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
3.040000,0.020000,-9.615761,-1.613014,-1.082049,1.139247,0.901649,-3.438180,1.139253,0.901669,-3.438270,-0.980169,-0.164319,-0.110762,Transition
3.060000,0.020000,-9.775992,-1.426640,-0.554202,1.136137,0.903940,-3.426398,1.139247,0.901649,-3.438180,-0.980681,-0.157107,-0.116545,Walking
3.080000,0.020000,-9.127047,-1.270839,-0.409200,1.146089,0.907241,-3.409761,1.136137,0.903940,-3.426398,-0.981108,-0.146369,-0.126506,Walking
3.100000,0.020000,-9.017351,-1.202074,-0.287359,1.158204,0.910899,-3.389322,1.146089,0.907241,-3.409761,-0.980946,-0.141179,-0.133469,Walking
3.120000,0.020000,-8.913787,-1.188264,-0.152611,1.172319,0.914392,-3.365223,1.158204,0.910899,-3.389322,-0.980585,-0.138932,-0.138385,Walking
3.140000,0.020000,-8.807844,-1.186174,-0.005183,1.188458,0.917800,-3.337390,1.172319,0.914392,-3.365223,-0.980103,-0.138287,-0.142386,Walking
3.160000,0.020000,-8.660686,-1.301623,0.182554,1.207379,0.918992,-3.304798,1.188458,0.917800,-3.337390,-0.979279,-0.138759,-0.147509,Walking
3.180000,0.020000,-8.499716,-1.378381,0.366788,1.229262,0.918749,-3.266950,1.207379,0.918992,-3.304798,-0.977966,-0.139270,-0.155519,Walking
3.200000,0.020000,-8.350564,-1.521928,0.480127,1.253768,0.915277,-3.224360,1.229262,0.918749,-3.266950,-0.976136,-0.137441,-0.168133,Walking
3.220000,0.020000,-8.248632,-1.679530,0.493679,1.279693,0.908429,-3.177914,1.253768,0.915277,-3.224360,-0.972973,-0.136307,-0.186398,Walking
3.240000,0.020000,-8.130675,-1.869832,0.437140,1.306928,0.898492,-3.127963,1.279693,0.908429,-3.177914,-0.967625,-0.139957,-0.210032,Walking
3.260000,0.020000,-8.132007,-2.331235,0.496789,1.332324,0.882325,-3.071024,1.306928,0.898492,-3.127963,-0.958390,-0.155234,-0.239566,Walking
3.280000,0.020000,-8.360966,-2.786627,0.108383,1.350237,0.863037,-3.015078,1.332324,0.882325,-3.071024,-0.943590,-0.185755,-0.274103,Walking
3.300000,0.020000,-8.694231,-3.320561,0.035007,1.357334,0.841560,-2.953379,1.350237,0.863037,-3.015078,-0.922438,-0.229020,-0.310899,Walking
3.320000,0.020000,-8.389710,-3.765594,-0.343970,1.363913,0.823815,-2.891159,1.357334,0.841560,-2.953379,-0.888748,-0.293411,-0.352189,Walking
3.340000,0.020000,-7.660219,-4.439110,-0.740379,1.374848,0.808671,-2.827671,1.363913,0.823815,-2.891159,-0.836593,-0.375318,-0.399060,Walking
3.360000,0.020000,-5.963751,-4.877727,-1.267845,1.403073,0.802866,-2.761814,1.374848,0.808671,-2.827671,-0.751785,-0.467634,-0.464906,Walking
3.380000,0.020000,-4.400004,-5.422677,-2.168606,1.438688,0.802254,-2.697558,1.403073,0.802866,-2.761814,-0.630049,-0.549655,-0.548560,Walking
3.400000,0.020000,-2.346797,-5.305839,-3.194785,1.487332,0.812483,-2.635666,1.438688,0.802254,-2.697558,-0.487156,-0.592992,-0.641124,Walking
3.420000,0.020000,-0.496702,-4.728980,-4.297110,1.542478,0.835858,-2.578970,1.487332,0.812483,-2.635666,-0.331700,-0.601199,-0.727004,Walking
3.440000,0.020000,1.207206,-4.191849,-5.355430,1.600682,0.867917,-2.531474,1.542478,0.835858,-2.578970,-0.173602,-0.590699,-0.787996,Walking
3.460000,0.020000,2.306763,-3.404469,-5.785836,1.651213,0.914539,-2.488079,1.600682,0.867917,-2.531474,-0.022397,-0.584666,-0.810965,Walking
3.480000,0.020000,3.317616,-3.244947,-6.044909,1.695543,0.965083,-2.451870,1.651213,0.914539,-2.488079,0.112242,-0.588392,-0.800747,Walking
3.500000,0.020000,3.852467,-3.009293,-6.081632,1.728662,1.019974,-2.420788,1.695543,0.965083,-2.451870,0.223905,-0.586532,-0.778362,Walking
3.520000,0.020000,4.260195,-3.004061,-5.909138,1.752236,1.074556,-2.392177,1.728662,1.019974,-2.420788,0.314119,-0.584418,-0.748188,Walking
3.540000,0.020000,4.704564,-3.026386,-5.675944,1.769043,1.128378,-2.366248,1.752236,1.074556,-2.392177,0.393907,-0.582822,-0.710744,Walking
3.560000,0.020000,5.024658,-3.474943,-4.988307,1.779296,1.175646,-2.336720,1.769043,1.128378,-2.366248,0.459936,-0.595141,-0.658989,Walking
3.580000,0.020000,5.329050,-3.961090,-4.432731,1.785689,1.218157,-2.308594,1.779296,1.175646,-2.336720,0.510644,-0.620457,-0.595211,Walking
3.600000,0.020000,5.541274,-4.575202,-3.659610,1.789244,1.253193,-2.277024,1.785689,1.218157,-2.308594,0.546740,-0.644952,-0.533960,Walking
3.620000,0.020000,5.811246,-5.372036,-3.070608,1.793079,1.275421,-2.243311,1.789244,1.253193,-2.277024,0.572837,-0.660903,-0.484836,Walking
3.640000,0.020000,6.079968,-5.712573,-2.677498,1.797354,1.291252,-2.208497,1.793079,1.275421,-2.243311,0.597981,-0.663006,-0.450380,Walking
3.660000,0.020000,6.375236,-6.418430,-2.454466,1.803774,1.291635,-2.172404,1.797354,1.291252,-2.208497,0.617149,-0.656226,-0.434160,Walking
3.680000,0.020000,6.467337,-6.530901,-2.499218,1.810471,1.288371,-2.137345,1.803774,1.291635,-2.172404,0.625126,-0.649106,-0.433450,Walking
3.700000,0.020000,6.395744,-6.938900,-2.642015,1.817590,1.277981,-2.104050,1.810471,1.288371,-2.137345,0.615678,-0.654373,-0.439019,Walking
3.720000,0.020000,6.149640,-7.478365,-2.761027,1.826461,1.260932,-2.070336,1.817590,1.277981,-2.104050,0.581664,-0.675427,-0.453284,Walking
3.740000,0.020000,5.642314,-7.965109,-2.947757,1.835940,1.240205,-2.036518,1.826461,1.260932,-2.070336,0.526846,-0.706292,-0.472849,Walking
3.760000,0.020000,5.049691,-8.865193,-2.987738,1.848421,1.207628,-1.997713,1.835940,1.240205,-2.036518,0.451133,-0.737651,-0.502345,Walking
3.780000,0.020000,4.121473,-9.420668,-3.383290,1.860362,1.168259,-1.959023,1.848421,1.207628,-1.997713,0.359270,-0.759656,-0.542077,Walking
